user_id,goal_name,target_amount,current_savings,deadline
136,Analysis before several environment,4111.24,3183.47,2026-10-31
137,At onto,7266.07,3386.4,2026-11-18
138,Pressure dark meet,4756.84,3015.23,2026-08-20
139,Compare however,8291.53,5552.52,2026-10-04
140,Social player account need,8600.12,5010.6,2026-05-27
141,Force party everyone,5119.51,2168.95,2026-11-21
142,Mention center campaign,5761.01,1705.16,2026-06-12
143,Natural note various,4473.25,2492.43,2026-09-26
144,Group bad,5675.31,240.05,2026-10-21
145,Development than,8864.28,7488.44,2026-07-23
146,Recent owner,8912.36,5546.14,2026-10-15
147,Raise,4099.01,3284.24,2027-01-06
148,Analysis guy child,7277.39,2632.93,2026-12-28
149,Building myself fire here,9177.48,2930.29,2026-11-08
150,True real ten,5371.71,3678.8,2026-07-21
151,Key hour new defense,4545.74,1550.13,2026-09-24
152,Collection democratic body,1089.14,325.96,2026-09-09
153,Pattern without,7491.12,2873.04,2027-03-05
154,Technology along level find,7560.65,5327.16,2026-07-29
155,Story author city,9373.77,937.03,2026-08-03
156,Both approach,4030.61,96.09,2027-02-26
157,Which official,9396.53,4170.08,2026-12-14
158,Word none debate,6426.08,2866.56,2027-02-01
159,Brother,4266.27,3464.25,2026-07-28
160,Free direction,6057.57,4556.78,2026-09-24
161,Floor peace conference,8487.94,7253.83,2026-04-27
162,Final,7180.73,128.8,2026-06-08
163,Lose worry purpose,4440.77,552.84,2026-06-12
164,Great budget,9746.8,4819.39,2026-05-03
165,Full drive,2933.52,58.27,2027-01-03
166,Tonight whose,9407.79,5864.59,2027-01-04
167,Head administration country,2671.03,1059.47,2026-12-20
168,Per bank,5732.91,5083.23,2026-10-14
169,Call green else,8059.6,6846.43,2026-12-10
170,Song special language,7264.19,4100.97,2027-03-17
171,Project hour,4165.2,3767.16,2026-10-24
172,Indicate,4273.0,2743.6,2026-10-02
173,Seat until task,1862.07,1442.8,2027-03-11
174,Into stand,5727.99,1767.7,2026-08-05
175,White assume,8079.01,3287.54,2027-01-20
176,Purpose,4281.61,2345.8,2026-12-01
177,And,5209.36,1668.76,2026-08-21
178,Statement wonder cultural,8543.72,4070.85,2026-08-03
179,Girl something well,3461.27,1099.56,2026-05-31
180,Yard eat,8521.49,6912.83,2026-05-04
181,Cut deep serious,7792.54,1934.36,2026-04-06
182,Across,7707.09,331.03,2027-01-19
183,Tell appear everyone,3386.51,79.1,2026-07-29
184,Chance,6751.55,5499.5,2026-06-13
185,Whom perform early,2871.21,2629.8,2027-03-11
186,Throw us,3331.72,883.13,2026-07-31
187,Scene believe,5964.32,4086.38,2027-02-09
188,Group agree simply,1105.86,312.09,2026-04-27
189,Shake,1010.74,428.69,2027-03-05
190,Ten plant step put,6216.73,6031.7,2026-04-21
191,Gas political network,2447.82,2304.28,2026-08-30
192,Hear try,7999.54,6651.94,2026-08-19
193,Particular,2479.08,950.13,2026-10-25
194,But claim lead,1579.17,686.56,2027-01-21
195,Land pull color,6729.4,2417.91,2026-09-02
196,Address room program,6044.56,312.43,2026-06-19
197,Society situation,3223.82,2017.51,2026-07-07
198,Since recently,9420.83,6199.55,2026-07-20
199,And to inside threat,4028.2,263.3,2026-12-05
200,Identify yeah base,1520.67,55.68,2026-07-27
201,First,8428.98,2145.63,2026-11-19
202,Republican loss natural,1460.93,1313.66,2026-04-02
203,Factor sport author yard,5233.68,5231.03,2026-08-24
204,Join,6697.6,1260.83,2026-09-20
205,Simply huge night,9115.99,7105.41,2026-05-08
206,Pull together,7643.5,1298.3,2026-06-14
207,Yes worker,6465.19,5418.39,2027-02-17
208,When live whose,8955.92,2497.95,2026-08-07
209,Painting deep exist,2331.21,740.71,2026-09-22
210,Against medical,4073.27,219.74,2026-07-31
211,Owner foot job,9756.73,4068.0,2026-06-11
212,Animal audience system,4499.75,2148.84,2026-10-30
213,Guess might unit,7537.96,6885.02,2027-02-16
214,Live argue,1760.85,854.43,2027-02-10
215,Stop however through remember,7643.11,3335.21,2026-05-24
216,Rest about,6051.97,1990.34,2027-03-06
217,Play help,1688.44,260.68,2026-06-14
218,Television paper,2896.59,799.68,2026-06-09
219,Attention leave national,7172.52,4786.45,2027-03-06
220,Reason pattern sense,8143.45,5080.84,2026-06-15
221,Report control go,6240.31,5128.7,2026-06-23
222,Group study his,3467.06,1965.05,2026-07-17
223,Lay wife perhaps,7165.95,704.51,2027-02-19
224,Just,6593.25,5524.57,2026-04-03
225,Director fund us,7529.29,7120.11,2027-02-26
226,Reason thought,1486.11,963.14,2027-02-06
227,Religious few today,8374.65,225.64,2026-05-15
228,Western laugh director,2076.05,1059.41,2027-01-23
229,Study onto between,5153.41,1818.63,2026-07-06
230,Approach admit,4670.31,680.36,2026-06-15
231,Ready outside,7474.98,4722.42,2027-03-08
232,Step plan three,8686.06,1177.37,2027-01-25
233,Skin off truth,7934.11,264.87,2026-04-22
234,Memory prevent serve,5843.11,3055.55,2027-03-03
235,It spring,5679.84,488.44,2027-02-17
236,Record voice,5530.15,3826.05,2026-12-15
237,Site law,7579.92,4981.16,2027-03-20
238,Draw lose site,1119.31,1036.93,2026-04-02
239,Expert his,1742.99,91.97,2026-07-01
240,Modern head,7131.75,1182.52,2026-04-25
241,Purpose better understand,6003.69,5387.77,2026-06-24
242,Far support recently,2189.7,1737.59,2027-01-02
243,Resource deal century however,1128.27,27.61,2026-09-12
244,Plan student worker,1765.01,1080.57,2026-07-08
245,Establish meeting,2064.9,1584.48,2027-03-12
246,Without put,5084.12,4331.6,2026-08-06
247,General,5841.94,2252.78,2026-07-08
248,Rule over,6825.35,1215.7,2027-01-26
249,Guy me brother operation,3076.68,1118.56,2027-03-29
250,Break this but cause,7691.55,2212.82,2026-10-03
251,Financial actually,3576.78,70.35,2026-06-04
252,Table own,3528.47,1691.82,2026-10-10
253,Save drive,6647.12,3318.15,2026-04-09
254,Nothing age,4949.78,1688.38,2026-11-16
255,Above risk matter,4179.04,2945.11,2026-07-18
256,Lawyer,4654.34,1063.56,2026-04-08
257,Government ready,1841.52,1214.56,2026-05-16
258,Deal husband others,8635.45,3822.39,2026-10-05
259,Table soldier,7030.05,6964.74,2026-06-29
260,Popular,3165.28,1577.29,2026-09-14
261,Himself,6664.14,6559.85,2026-11-17
262,Market dinner century,4686.53,2818.26,2026-07-29
263,Teach yet,1949.87,406.17,2027-02-05
264,Stay fast sense suffer,9342.69,1802.12,2026-09-29
265,Consider,4393.9,505.18,2026-08-28
266,Their myself,8447.58,5083.02,2027-02-12
267,Break,5682.9,2910.38,2026-09-09
268,Help public,4206.37,2539.01,2026-12-03
269,Event tend wall,7153.64,818.84,2027-01-07
270,Part safe adult who,5753.43,4361.19,2027-02-08
271,Theory policy,7421.45,7365.41,2027-01-24
272,Tonight quite material,5927.33,4246.11,2026-04-04
273,Media catch,3417.8,1014.72,2026-04-25
274,Section each fast,5585.49,2158.29,2026-10-01
275,Can town lose,2059.11,21.61,2026-07-27
276,Start,1345.64,454.5,2026-12-13
277,Social unit,1112.51,1051.51,2026-12-23
278,Live research,1108.69,946.57,2026-07-19
279,Court chair,3958.42,3164.98,2027-01-13
280,Wife customer,7308.18,5717.51,2026-10-16
281,Name effect other whatever,3173.06,2212.89,2026-08-27
282,Particularly much amount,5246.82,3916.19,2026-06-19
283,Personal establish,4461.23,1755.57,2027-02-06
284,Start paper,8940.16,754.18,2026-06-17
285,Finish teacher stage,4033.02,108.39,2026-12-23
286,Between care economy,4977.13,2248.33,2027-01-01
287,Group local modern,8252.86,3299.06,2026-06-15
288,Dream just several,3001.84,1624.27,2027-03-08
289,Simply,8006.8,2841.71,2026-12-26
290,Traditional meeting while,4014.43,1510.47,2026-11-26
291,Support,6103.26,235.37,2027-02-18
292,Seek worry,6459.07,3729.65,2026-08-19
293,Participant on decade,5644.16,3713.17,2027-01-15
294,Either agency value,6741.29,5173.01,2026-11-01
295,Two them great,9630.31,611.09,2026-07-26
296,Heavy account though watch,9534.55,1407.91,2026-10-15
297,Reason,7356.07,528.96,2026-05-14
298,Simply Democrat turn,7055.75,6613.93,2026-11-22
299,How can cold,8834.35,8742.08,2026-12-14
300,Above movie record,4113.71,785.11,2026-10-12
301,Provide people production type,7162.64,4160.3,2026-12-11
302,Leader again themselves special,5343.51,1877.74,2026-12-14
303,Against read,4308.36,2930.07,2026-04-25
304,Risk order Mrs,8727.5,1571.27,2026-10-21
305,Interest all agreement,4626.44,1325.26,2026-07-05
306,Hold present,6222.31,959.48,2027-02-06
307,Daughter economy,3042.81,969.86,2026-09-08
308,Responsibility decade behind,8632.26,5569.25,2026-06-07
309,Cost magazine,6657.58,501.18,2026-04-21
310,Without well total author,4446.28,3124.82,2026-06-15
311,Three eight,1663.69,1361.69,2026-04-01
312,Movie rich attorney,3373.36,1628.68,2026-10-03
313,Image ball,2555.45,1869.11,2026-10-23
314,Little,4920.68,1379.97,2026-05-21
315,Direction yourself focus,9822.04,6383.55,2026-07-26
316,Short his leave,8940.82,6386.07,2026-08-01
317,Practice catch every,4135.86,3060.31,2026-12-10
318,Sign method,9044.27,1339.25,2026-10-05
319,Top yet,9661.69,9300.72,2026-10-10
320,Girl television nothing story,3779.88,1719.79,2026-06-02
321,Concern determine,1999.24,434.95,2027-02-20
322,Bad phone,5235.39,3852.43,2026-08-23
323,Level car cost,2166.21,910.84,2026-06-07
324,Ok,4357.86,4194.95,2026-06-01
325,While why,6356.28,5186.49,2026-12-13
326,Alone wide,2864.85,1821.63,2026-06-06
327,Compare station newspaper little,1881.88,1407.86,2027-01-24
328,Continue memory region avoid,7491.94,5641.92,2026-10-24
329,More marriage lead education,1971.78,1821.93,2026-04-28
330,Sister article shake race,4315.99,2106.38,2026-12-22
331,Strategy decide challenge,4989.95,4121.24,2026-06-18
332,Media commercial,6329.2,628.81,2026-12-26
333,Possible course,3641.03,2279.8,2027-01-04
334,Law call seat,6053.42,2167.54,2026-05-25
335,Garden offer,3835.87,445.19,2027-01-27
336,Congress wish view,7566.64,6178.42,2026-07-14
337,Board strong,8719.81,289.89,2026-12-29
338,Around someone bag,2808.05,1493.21,2026-06-01
339,Officer cost return,1134.9,359.49,2027-02-17
340,Term reflect while,9601.08,9118.08,2026-09-12
341,Administration player focus thing,6222.14,369.8,2027-01-17
342,Expert challenge raise,1545.57,671.96,2027-03-02
343,Ok shoulder southern beyond,7248.77,6855.5,2026-06-05
344,Special student,7312.23,580.9,2027-02-18
345,Knowledge result allow,9295.9,7245.75,2026-10-03
346,Behind present draw nature,5674.63,4871.29,2026-04-13
347,Before compare real,9876.74,6636.22,2026-07-17
348,Nearly mouth,8811.6,3560.05,2027-02-04
349,Ask popular particular,8463.92,8040.57,2026-06-14
350,Tv trial,3120.86,1191.27,2026-06-11
351,Among,3251.5,2774.19,2026-12-31
352,Conference pick,6784.73,4313.98,2026-06-05
353,Rate bill,9899.11,9121.87,2026-07-29
354,Partner all game,7730.84,7258.75,2026-04-05
355,Attack argue,9141.63,3395.83,2026-08-01
356,It work front,3159.67,301.81,2026-11-23
357,Common reason,4847.4,1504.35,2027-02-19
358,Public bad or,6749.8,2568.14,2027-03-17
359,Nature city,9567.48,1907.89,2027-03-20
360,Save the task,7215.21,6245.76,2026-12-27
361,Table three head,1900.18,1412.05,2027-01-16
362,Dark dark,6655.35,2877.62,2026-12-17
363,Three from spring,4039.84,159.29,2026-07-22
364,Much most,6911.83,1546.05,2026-10-17
365,Audience best,6244.84,154.59,2026-09-30
366,Middle place should claim,7585.73,1707.51,2027-03-17
367,City government,9571.73,813.34,2026-05-26
368,Low child,4331.05,4163.88,2027-02-09
369,Some,4893.33,763.05,2026-08-01
370,Minute yeah different however,9912.51,3949.62,2026-08-29
371,Middle hospital able,1539.75,283.23,2026-11-30
372,Those strategy person,3109.98,3032.48,2026-10-04
373,Indicate Mrs seven,6266.71,6156.62,2026-05-27
374,Business yourself environmental,9018.57,854.02,2026-06-10
375,Future,3041.58,1833.67,2026-12-01
376,Ball feeling,8041.87,408.08,2026-07-10
377,Stand white,8005.15,4487.02,2027-01-28
378,Notice million,9991.2,4048.57,2026-06-03
379,Nation fine,2912.07,2839.5,2026-09-29
380,And certainly,6526.85,335.35,2026-12-29
381,Go hear,7636.1,1183.5,2026-06-07
382,Accept drive media,2229.06,794.98,2027-03-21
383,Sense already question,5308.17,2649.79,2026-05-02
384,Think,2966.01,2664.3,2026-09-03
385,Hour trip,1732.43,1418.91,2026-10-18
386,Including wish,8148.34,1752.41,2026-04-27
387,Particularly scene director,9242.73,2490.72,2026-09-16
388,Often performance,4371.48,339.89,2027-02-10
389,Pay include physical,2410.94,1167.26,2027-03-19
390,Feeling say,8107.22,6030.82,2026-05-21
391,Choice fill,2983.93,1411.34,2027-01-10
392,World leg,1272.85,1226.23,2026-08-15
393,Manager economic,3219.44,1384.45,2026-11-21
394,Manager marriage off,9824.73,1310.69,2026-11-23
395,Other,7305.79,3328.5,2026-04-18
396,Beautiful power,1236.06,1157.12,2026-07-01
397,Simple,2189.6,630.05,2026-06-15
398,Former picture,5765.49,3737.85,2026-11-11
399,Responsibility vote,3456.23,1629.81,2027-03-25
400,Short resource,6731.08,1732.24,2026-09-26
401,Finally have garden,3749.44,420.14,2027-01-13
402,Year out PM,2975.57,2627.74,2026-11-02
403,Full surface,5190.31,3308.77,2026-04-05
404,Only alone,2218.18,791.11,2026-04-07
405,Green PM admit,5718.62,125.72,2026-06-04
406,Simple similar,3886.72,2164.39,2026-10-06
407,Go,6048.33,482.49,2026-04-29
408,Learn,4242.51,4191.44,2026-07-30
409,Star right recent,9634.52,1183.73,2026-10-08
410,Laugh word candidate,5477.94,3592.95,2026-07-27
411,Fish foot physical start,8555.35,4627.69,2026-10-10
412,Training say above,3885.82,355.2,2027-03-08
413,Teacher artist,5543.48,4364.67,2026-05-21
414,Prevent key,2932.76,1040.36,2026-11-27
415,Identify worker call,2265.87,909.62,2027-01-15
416,Tell fire something seven,7381.06,1768.51,2026-05-13
417,Stand garden what,5296.0,1090.05,2026-11-01
418,Land huge,1946.97,1245.15,2026-06-29
419,Live success person,6630.04,1700.46,2026-12-20
420,Travel head third,1166.36,994.34,2026-10-26
421,Truth reason three,5926.75,4186.34,2027-03-22
422,Despite these,3840.29,2281.98,2026-07-16
423,Check bring seek understand,4187.4,1881.6,2027-02-16
424,Brother chair,8393.12,5083.46,2027-01-13
425,Court other to,5446.92,2912.98,2027-03-21
426,Hard feeling table,6409.29,3890.23,2027-02-19
427,Happen prepare,7046.06,1907.15,2026-12-20
428,Piece vote system not,7118.98,4069.42,2026-09-28
429,Deep forget technology,9503.96,346.98,2026-04-01
430,Dark edge be,8556.9,555.57,2027-03-08
431,Professional despite question,1802.55,1706.95,2026-11-09
432,Green happy,6109.39,779.88,2026-05-10
433,Plan so could election,1652.74,1063.03,2026-07-25
434,Behavior heart,4509.62,3885.51,2026-04-25
435,Accept turn,9834.64,3077.31,2026-11-09
436,House surface official,8664.15,1905.86,2026-06-10
437,Same,5399.82,5095.31,2027-01-19
438,Share cup eat,8374.23,2528.36,2027-03-24
439,While suffer,9856.72,4140.84,2026-06-30
440,Report will political,4099.95,672.68,2026-07-03
441,Coach trip be,7125.81,4983.93,2027-01-25
442,Professor technology glass,6713.06,6518.06,2027-01-26
443,Deal scientist,5216.13,203.87,2026-11-21
444,Her,5735.44,1175.03,2026-07-01
445,Wish,2065.66,150.27,2026-06-06
446,Into real,3010.03,704.52,2026-09-18
447,These forget notice,9334.57,6517.25,2026-04-24
448,Involve year,4112.51,1953.18,2026-11-16
449,Whether,4085.9,819.71,2027-01-25
450,Traditional data,7373.79,2201.84,2026-11-06
451,Attack author citizen,1762.14,745.89,2027-03-05
452,Arrive everyone material,7021.19,4334.1,2026-06-22
453,Claim heart,1984.42,449.86,2026-09-17
454,Become economic contain,4458.02,829.26,2026-09-02
455,Accept heart late,4050.9,2870.23,2026-08-22
456,Call black,9800.83,4885.27,2026-12-21
457,Course experience,3664.55,2018.02,2026-11-13
458,Direction each,7675.58,4713.79,2027-01-14
459,Ever management,9368.53,1213.03,2026-12-26
460,Set table,3772.77,62.65,2027-03-19
461,Off together,6966.89,3523.52,2027-01-19
462,I,3176.59,919.77,2026-05-09
463,Reality,5501.57,4361.01,2026-09-10
464,Full yet since,5378.96,4805.9,2026-04-21
465,Ever local effort,9377.5,1470.05,2026-06-16
466,Theory,2905.1,737.13,2026-10-18
467,Building certainly,7300.42,6158.92,2026-12-14
468,Hot store some,6474.6,3886.41,2026-08-31
469,Decade recently parent,2183.82,1009.87,2026-11-25
470,Name series,4994.86,1168.85,2026-07-24
471,Manage like region,8305.15,1015.47,2026-05-01
472,Picture indicate,3257.91,2486.71,2027-03-16
473,Respond,2739.77,527.39,2026-04-10
474,Stand enough,5113.41,3602.23,2027-01-03
475,Realize region,8637.28,3561.61,2026-11-28
476,Safe sister,5201.79,145.37,2027-01-06
477,Defense trip front,3894.7,2049.1,2026-10-11
478,Necessary role,6246.52,2879.48,2026-09-09
479,Situation success,9848.64,3924.98,2026-08-09
480,Wait far,8566.51,1764.94,2026-07-23
481,Spring drop,7813.32,6000.96,2027-02-17
482,Sing,2601.23,2512.8,2027-03-12
483,Agree,6897.64,3194.16,2026-04-11
484,Black board much,6815.92,1461.55,2026-04-16
485,Interesting thus,6759.55,318.6,2027-01-22
486,Marriage better player,7944.21,5400.55,2027-03-10
487,Enjoy stage,6108.13,5484.32,2027-03-17
488,Win baby future,7548.12,1981.48,2027-03-26
489,Keep must along,9943.51,7620.83,2026-10-26
490,Mother teach staff,3797.03,703.18,2026-06-11
491,Last lead into,9885.55,5473.65,2026-08-15
492,How child accept,1049.25,513.19,2027-03-06
493,Nearly employee,8353.7,7989.88,2026-06-26
494,Cell knowledge,7216.8,4025.09,2026-04-21
495,Yet yet ever,1499.89,268.39,2026-04-01
496,Weight member,5217.64,2522.79,2026-04-15
497,Choose time fill,6810.64,2652.72,2026-05-03
498,Course standard mission,1690.9,521.0,2026-09-09
499,Camera appear character,5927.6,5844.56,2026-12-05
500,Price media,8072.01,4028.4,2027-01-21
501,Purpose eye,4510.33,3449.42,2026-12-30
502,Health miss race,8262.53,2498.1,2026-06-23
503,Involve major,5028.84,96.73,2026-09-17
504,Mind line,2413.22,1736.5,2026-04-24
505,Main manager follow,6661.96,70.84,2026-10-13
506,Member environment,4022.64,1535.61,2026-08-26
507,Not difficult,8937.19,3848.62,2027-02-27
508,Clear and,5551.33,4622.0,2027-01-20
509,Successful when star whatever,7265.72,3301.78,2026-04-03
510,Ten charge term risk,3665.67,488.97,2027-03-16
511,Wind both,1151.08,536.29,2026-07-13
512,Voice view,4150.58,3290.57,2027-02-14
513,Just image them,1259.94,138.52,2026-09-03
514,Soon parent smile,2563.8,1788.4,2026-04-03
515,Yourself prepare,2588.23,1621.43,2027-03-08
516,Control notice agree,2850.29,1000.8,2027-03-21
517,Civil out,2716.64,2629.96,2026-10-22
518,Senior look,3876.81,1092.99,2026-11-17
519,Decade happy,3282.61,3001.61,2026-12-16
520,Talk hot mean,9151.99,6078.13,2026-09-20
521,Measure sing change,8437.02,1378.12,2027-01-17
522,Focus turn,5720.08,554.61,2027-01-15
523,Me decision official,4296.13,3389.63,2026-09-25
524,Seem yourself only,3330.03,1570.85,2026-09-26
525,Hot firm,2277.34,215.26,2026-11-20
526,Around still oil,4949.84,4270.47,2026-11-05
527,Reason few,8564.22,1395.5,2026-07-19
528,Audience drug without,8504.15,6406.89,2026-06-12
529,Spring this thus how,7525.57,4087.07,2027-01-15
530,Believe,8009.78,2062.63,2027-02-18
531,Pretty many arrive,3634.39,3581.96,2026-10-18
532,Indeed,6004.16,664.95,2026-06-22
533,Military pattern instead,3812.33,506.62,2026-11-14
534,Stay window understand,2762.07,2293.28,2026-07-22
535,Remain billion figure,2905.74,2037.07,2026-05-06
536,Specific western,6654.1,1048.32,2026-07-04
537,Whose hot east,5127.37,4994.12,2026-05-08
538,Model cost little,7965.2,2961.48,2026-11-08
539,Speak resource the,9260.06,8722.29,2026-06-29
540,Two development drug,5949.01,5091.93,2027-01-31
541,Us simple,3111.91,1872.67,2026-10-14
542,But another state,2794.96,968.37,2026-09-02
543,Produce address rise,4515.13,436.15,2026-10-08
544,Wonder likely president,9894.35,3012.43,2026-11-15
545,Group one,4497.7,3582.45,2026-04-26
546,Them whatever,1538.8,774.63,2026-09-10
547,Future part even,9031.81,7113.22,2026-10-31
548,Door remain,3158.37,1478.12,2026-07-08
549,Law hospital,2767.08,31.67,2026-09-22
550,Prevent grow thus,5351.03,3300.97,2026-07-07
551,Forward enjoy attorney,5362.71,5059.77,2026-11-18
552,Better gas agency,6138.01,2503.87,2026-05-12
553,Population door,4012.62,3457.89,2026-04-24
554,Pass at,2469.71,462.88,2026-11-13
555,Check land area able,2508.6,151.83,2026-12-15
556,Treat score factor,2997.77,174.37,2026-12-07
557,Although figure,6109.49,2465.41,2026-08-28
558,Evening do administration,2140.96,1377.88,2027-02-04
559,Participant large vote morning,1749.13,927.57,2026-10-20
560,Figure budget cut,5511.1,4017.69,2026-04-09
561,Deep,8914.02,1514.11,2026-05-30
